SalesOrderNumber,CustomerName,EmailAddress
SO43701,Christy Zhu,christy12@adventure-works.com
SO43704,Julio Ruiz,julio1@adventure-works.com
SO43705,Curtis Lu,curtis9@adventure-works.com
SO43700,Ruben Prasad,ruben10@adventure-works.com
SO43703,Albert Alvarez,albert7@adventure-works.com
SO43697,Cole Watson,cole1@adventure-works.com
SO43699,Sydney Wright,sydney61@adventure-works.com
SO43702,Colin Anand,colin45@adventure-works.com
SO43698,Rachael Martinez,rachael16@adventure-works.com
SO43707,Emma Brown,emma3@adventure-works.com
SO43711,Courtney Edwards,courtney1@adventure-works.com
SO43706,Edward Brown,edward26@adventure-works.com
SO43708,Brad Deng,brad2@adventure-works.com
SO43709,Martha Xu,martha12@adventure-works.com
SO43710,Katrina Raji,katrina20@adventure-works.com
SO43712,Abigail Henderson,abigail73@adventure-works.com
SO43720,Melanie Sanchez,melanie47@adventure-works.com
SO43721,Louis Xie,louis20@adventure-works.com
SO43714,Latasha Alonso,latasha8@adventure-works.com
SO43715,Warren Jai,warren42@adventure-works.com
SO43716,Jonathon Gutierrez,jonathon8@adventure-works.com
SO43719,Lucas Hill,lucas45@adventure-works.com
SO43713,Sydney Rogers,sydney3@adventure-works.com
SO43717,Alexandra Watson,alexandra20@adventure-works.com
SO43718,Kevin Gonzalez,kevin46@adventure-works.com
SO43727,Logan Gonzales,logan18@adventure-works.com
SO43724,Misty Raji,misty23@adventure-works.com
SO43722,Albert Blanco,albert15@adventure-works.com
SO43725,Anne Dominguez,anne14@adventure-works.com
SO43723,Bonnie Xu,bonnie10@adventure-works.com
SO43726,Kelvin Huang,kelvin25@adventure-works.com
SO43736,Ruben Torres,ruben35@adventure-works.com
SO43732,Alejandro Beck,alejandro45@adventure-works.com
SO43729,Mayra Prasad,mayra9@adventure-works.com
SO43731,Rosa Zheng,rosa19@adventure-works.com
SO43735,Casey Pal,casey13@adventure-works.com
SO43728,Alyssa Garcia,alyssa16@adventure-works.com
SO43734,Richard Brooks,richard81@adventure-works.com
SO43733,Patrick Cook,patrick26@adventure-works.com
SO43730,Garrett Cooper,garrett13@adventure-works.com
SO43741,Jeremiah Martinez,jeremiah8@adventure-works.com
SO43740,Cory Arun,cory5@adventure-works.com
SO43744,Haley Ward,haley13@adventure-works.com
SO43743,Marco Mehta,marco14@adventure-works.com
SO43738,Melody Ramos,melody17@adventure-works.com
SO43737,Lindsey Andersen,lindsey14@adventure-works.com
SO43742,Tamara Lal,tamara20@adventure-works.com
SO43739,Phillip Sai,phillip6@adventure-works.com
SO43752,Luke Adams,luke46@adventure-works.com
